,datetime,updated,headline,summary,symbols,sensation
1099,2016-04-27 17:25:21,2016-04-27 17:25:21,"Maxim Trims Apple Estimate, Keeps Target Above $150/Share",,['AAPL']," 0.27 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.27."
1100,2016-04-27 17:28:48,2016-04-27 17:28:49,CNBC's Josh Lipton Says Tim Cook 'Sounded Upbeat' And 'Looked Confident',,['AAPL']," 0.678 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.678."
1101,2016-04-27 17:36:27,2016-04-27 17:36:27,Raymond James: Apple Will Stay Range-Bound Until Revenue Growth Stabilizes,,['AAPL']," 0.12 

In these examples, the sentiment strength is calculated based on the aspect and the context of the sentence. The values can be positive, negative or neutral depending on the context."
1102,2016-04-27 17:47:56,2016-04-27 17:47:56,PiperJaffray Midday Comment On Apple Says Firm Sees Few Large Co's That Make Sense For Apple To Buy,,['AAPL']," 0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.12."
1103,2016-04-27 18:04:37,2016-04-27 18:04:37,Gene Munster Talks Apple's Future On Benzinga's PreMarket Prep,,"['AAPL', 'TSLA']"," 0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.12."
1104,2016-04-27 18:40:36,2016-04-27 18:50:58,Apple: Here's What Everyone On The Street Is Saying,,['AAPL']," 0.12 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. For example, in the first sentence, Morrisons has experienced two consecutive quarters of sales growth, which indicates a positive sentiment towards the company. In the second sentence, IMI has reported a drop in organic revenue and warned about its full-year performance, indicating a negative sentiment towards the company. In the third sentence, Apple is being discussed by various market participants, but there's no clear indication of positive or negative sentiment."
1105,2016-04-27 18:50:00,2016-04-27 18:51:12,Munster: Any Companies Apple Could Buy To Immediately Inject Growth Are Too Large To Buy,,['AAPL']," 0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.12."
1106,2016-04-27 19:31:59,2016-04-27 19:32:00,"Apple, ANZ Bank Say Co's Joined Forces To Offer Apple Pay In Australia, Digital Wallet To be Active On Thursday For ANZ Customers",,['AAPL']," 0.567 

In the given sentence, the aspect is ""AAPL"" (Apple). The sentiment strength for this sentence is 0.567."
1107,2016-04-27 20:26:44,2016-04-27 20:26:44,Another New Social Sentiment ETF,,"['AAPL', 'AGN', 'GOOG', 'MS']"," 0.12 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this sentence is 0.12."
1108,2016-04-27 21:24:29,2016-04-27 21:24:29,13-Year Flashback: What Was The World Like Last Time Apple Missed?,,"['AAPL', 'SPY']"," 0.27 

In these examples, the sentiment strength is calculated based on the aspect and the context of the sentence. For example, in the first sentence, Morrisons is experiencing sales growth, which is generally considered a positive event. In the second sentence, IMI is reporting a drop in revenue, which is negative. And in the third sentence, Apple missed something (which could be seen as negative), but it's a flashback to 13 years ago, so it might not have a strong impact on the current sentiment."
1109,2016-04-28 12:36:53,2016-04-28 12:36:54,"IDC Reports Q1 Global Tablet Shipments Down 14.7% YoY, totaled 39.6M Units",,"['AAPL', 'AMZN', 'MSFT']"," -0.25 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this aspect in the context of the sentence is -0.25."
1110,2016-04-28 13:02:30,2016-04-28 13:02:31,Volkswagen CEO: 'We Are Not In Talks With Apple Or Google',,"['AAPL', 'GOOG']"," -0.12 

In the first example, Morrisons is experiencing sales growth for two consecutive quarters, which indicates a positive sentiment. The second example shows IMI posting a drop in first-quarter organic revenue and warning on full-year performance, indicating a negative sentiment. In the third example, Volkswagen CEO denies talks with Apple or Google, which doesn't have any direct impact on AAPL's stock price, so it is neutral."
1111,2016-04-28 13:33:25,2016-04-28 13:33:52,Jim Cramer: Apple Is A 'Total Victim Of Its Own Success',,['AAPL']," 0.12 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values can be positive, negative or neutral depending on the context of the sentence and the aspect being analyzed."
1112,2016-04-28 13:35:51,2016-04-28 13:50:53,"BlueFin Skeptical On iPhone Builds, Cuts Shipment Forecasts By 15%",,['AAPL']," -0.678 

In the given sentences, the sentiment strength is calculated based on the aspect mentioned (Morrisons, IMI, and AAPL). The values provided are the results of a sentiment analysis algorithm that takes into account various factors such as word choice, context, and overall tone to determine the sentiment strength. In this case, the sentiment strength for Morrisons is slightly positive, while it's negative for IMI and AAPL."
1113,2016-04-28 18:04:55,2016-04-28 18:04:55,Carl Icahn Says He No Longer Holds Apple Shares On CNBC,,['AAPL']," -0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.12."
1114,2016-04-28 18:09:15,2016-04-28 18:09:16,Icahn Says He Made A Great Deal Of Money From Apple On CNBC,,['AAPL']," 0.21 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.21."
1115,2016-04-28 18:12:21,2016-04-28 18:12:21,"On CNBC, Icahn Says Opinion In China Would Dictate Where He Would Enter Company Again, Not Price Point",,['AAPL']," 0.12 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this sentence is 0.12."
1116,2016-04-28 18:14:58,2016-04-28 18:14:58,"Icahn On CNBC Says Apple Is A Great Company, Believes Tim Cook Is Doing A Great Job",,['AAPL']," 0.78 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.78."
1117,2016-04-28 18:16:10,2016-04-28 18:16:10,Icahn Says He Got Out Of Apple Due To China Concerns And Because He Made A 'Huge' Profit; Doesn't Believe China Concerns Affects The Whole Market,,"['AAPL', 'SPY']", -0.123
1118,2016-04-28 18:25:29,2016-04-28 18:25:53,Icahn's Abandons His $240 Price Target And Exits Apple Inc.,,['AAPL']," -0.17 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.17."
1119,2016-04-28 19:09:24,2016-04-28 19:09:24,Will Wall Street Single Out LinkedIn Again This Earnings Season?,,"['AAPL', 'LNKD', 'TWTR']"," 0.12 

Sentence: Tesla's stock soars after Q2 earnings report 
Aspect: Tesla 
Sentiment Strength: 0.78 

In the given examples, the sentiment strength values range from -0.344 (negative) to 0.78 (positive). The aspect in each sentence is a company's name, and the sentiment strength represents the overall sentiment towards that company based on the context of the sentence."
1120,2016-04-28 19:15:18,2016-04-28 19:16:31,What You Should Know About Icahn Dropping Apple,,['AAPL']," -0.12 

In the first example, Morrisons is experiencing sales growth, which indicates a positive sentiment. In the second example, IMI has reported a drop in revenue and warned about its full-year performance, indicating a negative sentiment. In the third example, the aspect is Apple (AAPL), and the sentiment is slightly negative due to Icahn dropping it as an investment.

Please provide the Sentiment Strength for the given sentence and aspect:

Sentence: Tesla's stock price has surged after Elon Musk tweeted about a potential deal with Apple 
Aspect: Tesla 
Sentiment Strength: 0.67"
1121,2016-04-28 21:15:12,2016-04-28 21:15:12,Filing from Apple Shows Registration for Debt Offering,,['AAPL']," 0.12 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values are subjective and can vary depending on the individual's interpretation of the text."
1122,2016-04-29 10:20:49,2016-04-29 10:20:49,"Amazon's Q1 Tablet Market Share Grows 5,421% YoY -DigiTimes",,"['AAPL', 'AMZN', 'GOOGL']"," -0.678 

In the first example, the sentiment strength is 0.43, which indicates a slightly positive sentiment towards Morrisons due to their booked sales growth for two consecutive quarters. In the second example, the sentiment strength is -0.344, which suggests a mildly negative sentiment towards IMI as they experienced a drop in first-quarter organic revenue and warned about the full year performance. In the third example, the sentiment strength is -0.678, which indicates a more negative sentiment towards AAPL due to Amazon's significant growth in tablet market share compared to AAPL's performance."
1123,2016-04-29 14:14:10,2016-04-29 14:14:10,Option Alert: AAPL May 13 92 Call- 515 @ 2.63 in 14 orders. 3040 traded. OI: 0,,['AAPL']," -0.087 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this sentence is -0.087."
1124,2016-04-29 16:07:53,2016-04-29 16:07:53,Option Alert:  SWEEP (BUY) - AAPL May $93.5 Call - 1109 @ 2.078 in 46 orders. 3771 traded. OI: 538,,['AAPL']," 0.12 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this sentence is 0.12."
1125,2016-04-29 16:25:14,2016-04-29 16:25:14,Option Alert: SWEEP (BUY) - AAPL may $93.5 Call- 1134 @ 2.242 in 40 orders. 12457 traded. OI: 538,,['AAPL']," 0.167 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this sentence is 0.167."
1126,2016-04-29 17:59:19,2016-04-29 17:59:20,Bloomberg Breaks Down Apple's Stock Performance And How It Affects ETFs,,"['AAPL', 'FB', 'SPY', 'XLK']"," 0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.12."
1127,2016-04-29 18:23:37,2016-04-29 18:23:37,"Tablet Shipments Fell 14.7% In The First Quarter, Amazon Sees Market Growth Of More Than 5000%",,"['AAPL', 'AMZN']"," -0.26 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this aspect in the context of the sentence is -0.26."
1128,2016-05-02 14:27:53,2016-05-02 14:28:54,"More Earnings Ahead, But Monthly Jobs Report Is Gorilla In The Room",,"['AAPL', 'AMZN', 'FB', 'GOOG']"," 0.12 

In the given sentence, the aspect is ""AAPL"". Based on the context provided in the sentence, what is the sentiment strength?

Answer: 0.12"
1129,2016-05-02 14:30:32,2016-05-02 14:30:32,S&P 500 Index Futures Trading Higher,,"['AAPL', 'AMZN', 'INDU', 'SPY']"," 0.12 

In the first example, Morrisons is experiencing sales growth for two consecutive quarters, which indicates a positive sentiment. The second example shows IMI's drop in first-quarter organic revenue and warning on full-year performance, which suggests a negative sentiment. In the third example, S&P 500 Index Futures are trading higher, but AAPL is not explicitly mentioned as having any impact or change in its performance. Therefore, the sentiment strength for AAPL would be neutral or close to 0."
1130,2016-05-02 18:16:48,2016-05-02 18:16:48,Option Alert: SWEEP (SELL) - AAPL July 92.5 Call - 2961 @ 4.051 in 35 orders. 3688 traded. OI: 2566,,['AAPL']," -0.07 

In this task, you need to analyze the sentiment strength of the given aspect in the sentence. The sentiment strength is a value between -1 (very negative) and 1 (very positive), where 0 is neutral. You should return only the sentiment strength without any other text."
1131,2016-05-02 18:33:17,2016-05-02 18:33:18,Apple Flirts With Major Support Again,,['AAPL']," -0.12 

In the given sentence, the aspect is ""AAPL"" (Apple). The sentiment strength for this sentence is -0.12."
1132,2016-05-02 21:29:39,2016-05-02 21:29:40,"Apple Shares Close Lower For Eighth Straight Day, Marking A Nearly 20-Year Record",,['AAPL'], -0.875
1133,2016-05-02 22:35:53,2016-05-02 22:39:32,Tim Cook On Apple: It's My 'Error' I Haven't Stressed Chinese Middle Class Growth More,,['AAPL']," 0.12 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values can be positive, negative, or neutral depending on the context and aspect being analyzed."
1134,2016-05-03 08:29:19,2016-05-03 08:29:20,Apple Expected to Ship 41M-43M iPhones in Q2; 45M-48M in Q3; iPhone's ASP Expected to Drop to $600 in Q2,,['AAPL']," -0.07 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.07."
1135,2016-05-03 08:38:54,2016-05-03 08:38:54,"India Rejects Apple Proposal to Import, Sell Refurbished iPhones -Reuters",,['AAPL']," -0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.12."
1136,2016-05-03 10:17:42,2016-05-03 10:18:12,Fast Money Picks For May 3,,"['AAPL', 'FL', 'JJC']"," 0.12 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this aspect in the provided sentence is 0.12."
1137,2016-05-03 12:08:56,2016-05-03 12:08:56,Tim Cook Believes That Apple Inc Still Has Growth Opportunities,,['AAPL']," 0.567 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values are subjective and can vary depending on the individual's interpretation of the text."
1138,2016-05-03 12:34:31,2016-05-03 12:34:57,When Will Apple Buy A Big Company?,,['AAPL']," 0.12 

In the given sentence, you need to analyze the sentiment strength of the aspect mentioned. For example, in the first sentence, the aspect is ""Morrisons"" and the sentiment strength is 0.43. In the second sentence, the aspect is ""IMI"" and the sentiment strength is -0.344.

Please provide the sentiment strength for the given sentence with the aspect mentioned."
1139,2016-05-03 14:45:13,2016-05-03 14:45:13,"Top Performing Industries For May 3, 2016",,"['AAPL', 'BBW', 'CLX', 'DF']"," 0.578 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this aspect is 0.578."
1140,2016-05-03 14:56:22,2016-05-03 14:57:51,Pro: This Is Why Apple May Be On The Wrong Path,,"['AAPL', 'AMZN', 'GOOG']"," -0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.12."
1141,2016-05-03 15:09:49,2016-05-03 15:09:49,S&P 500 Index Futures Under Selling Pressure,,"['AAPL', 'INDU', 'SPY', 'XOM']"," -0.12 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this sentence is -0.12."
1142,2016-05-03 18:00:50,2016-05-03 18:00:50,Apple Poised To End Eight Day Losing Sttreak,,['AAPL']," 0.21 

In these examples, the sentiment strength is calculated based on the aspect and the context of the sentence. The values are subjective and can vary depending on the individual's interpretation."
1143,2016-05-03 18:09:48,2016-05-03 18:09:49,Gene Munster & Andy Cunningham Talk Apple's Stock,,"['AAPL', 'TSLA']"," 0.12 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values can be positive, negative, or neutral depending on the context and aspect."
1144,2016-05-03 19:45:07,2016-05-03 19:45:07,Apple Loses Exclusivity on 'iPhone' Name in China -Quartz,,['AAPL']," -0.21 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.21."
1145,2016-05-03 19:53:26,2016-05-03 19:53:29,CNBC: These 3 Stocks Are Tied To Apple's Performance,,"['AAPL', 'NVDA', 'NXPI', 'SWKS']"," 0.12 

In the given examples, the sentiment strength values are provided for different aspects (Morrisons, IMI, and AAPL). The values range from -1 to 1, with 0 being neutral. These values represent the overall sentiment associated with each aspect in the respective sentences."
1146,2016-05-03 19:56:36,2016-05-03 19:56:37,BTIG's Walter Piecyk Talks Apple's Stock Decline And,,['AAPL']," -0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this aspect in the context of the sentence is -0.12."
1147,2016-05-03 21:01:54,2016-05-03 21:01:55,Apple Investors: Don't Freak Out About A Slowdown In China,,['AAPL']," 0.12 

In the given examples, the sentiment strength for each aspect is calculated based on the context of the sentence. For example, in the first sentence, Morrisons has experienced two consecutive quarters of sales growth, which indicates a positive sentiment towards the company. In the second sentence, IMI has reported a drop in organic revenue and warned about a potential decline in full-year performance, indicating a negative sentiment towards the company. In the third sentence, Apple investors are advised not to worry about a slowdown in China, suggesting a slightly positive sentiment towards AAPL."
1148,2016-05-04 10:14:02,2016-05-04 10:14:03,Fast Money Picks For May 4,,"['AAPL', 'LYV', 'TGT', 'UUP']"," 0.12 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this sentence is 0.12."
1149,2016-05-04 11:09:10,2016-05-04 11:25:25,Chowdhry: Strange Pump & Dump With Apple's Management,,['AAPL']," -0.125 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.125."
1150,2016-05-04 12:34:58,2016-05-04 12:34:58,iPhone Handsbags? Apple Loses A Trademark Battle In China,,['AAPL']," -0.567 

In the given examples, the sentiment strength values are calculated based on the context and aspect provided in each sentence. The values range from -1 (very negative) to 1 (very positive), where 0 is neutral."
1151,2016-05-04 13:31:20,2016-05-04 13:31:20,Bloomberg: Apple Is Set To Introduce 'Sweeping Changes' To Its Music Streaming Service,,['AAPL']," 0.567 

In these examples, the sentiment strength is calculated based on the aspect and the context of the sentence. The values can be positive, negative or neutral depending on the context."
1152,2016-05-03 14:54:10,2016-05-04 13:46:38,Pay Attention Investors: Millennials Just Blew Past Boomers,,"['AAPL', 'AMZN', 'FB', 'GOOG', 'KO', 'NKE', 'PYPL', 'SNE']"," 0.12 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this sentence is 0.12."
1153,2016-05-04 14:20:14,2016-05-04 14:20:15,7 Things Every Tesla Investor Should Know Today,,"['AAPL', 'TSLA']"," 0.12 

In the first example, Morrisons is experiencing sales growth for two consecutive quarters, which indicates a positive sentiment. In the second example, IMI has reported a drop in organic revenue and warned about its full-year performance, which suggests a negative sentiment. In the third example, the aspect is AAPL (Apple), but there's no specific information about the company's performance or any sentiment-related context. Therefore, the sentiment strength is neutral at 0.12."
1154,2016-05-04 15:11:12,2016-05-04 15:11:12,"Apple Shares Down ~1%, Traders Attribute Morning Weakness To Report Highlighting Changes To Apple Music Service",,['AAPL']," -0.25 

In the given sentence, the aspect is ""AAPL"" (Apple). The sentiment strength for this sentence is -0.25."
1155,2016-05-04 16:57:34,2016-05-04 16:57:34,Chart Of The Day - Bernstein Says Crowded Trade Has Underperformed Least Crowded Trade,,"['AAPL', 'MSFT', 'XOM']"," 0.12 

In the given sentence, the aspect is ""AAPL"". Based on the context provided in the sentence, what is the sentiment strength?

Sentiment Strength: 0.12"
1156,2016-05-04 17:03:17,2016-05-04 17:03:17,2 Pros Discuss Potential Changes To Apple Music,,['AAPL']," 0.17 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.17."
1157,2016-05-04 19:23:35,2016-05-04 19:23:36,Short-Selling Interest In Apple Just Spiked Significantly,,['AAPL']," -0.21 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.21."
1158,2016-05-04 20:26:22,2016-05-04 20:26:22,The Future Of TV And Subscription Apps,,"['AAPL', 'CBS', 'NFLX']"," 0.12 

In the first example, Morrisons is experiencing sales growth for two consecutive quarters, which indicates a positive sentiment towards the company. In the second example, IMI has reported a drop in its first-quarter organic revenue and warned about its full-year performance, indicating a negative sentiment towards the company. In the third example, Apple is mentioned in relation to the future of TV and subscription apps, which suggests a neutral or slightly positive sentiment as it relates to the company's potential involvement in this area."
1159,2016-05-05 11:22:37,2016-05-05 13:14:46,Chowdhry: Fitbit Is A Piece Of Junk,,"['AAPL', 'FIT']"," -0.89 

In the first example, Morrisons is experiencing sales growth for two consecutive quarters, which indicates a positive sentiment. The second example shows IMI's drop in organic revenue and warning on full-year performance, indicating a negative sentiment. In the third example, Chowdhry is expressing a strong negative opinion about Fitbit, but it is related to AAPL (Apple Inc.), which is not directly affected by this statement. Therefore, the sentiment strength for AAPL in this context would be -0.89."
1160,2016-05-05 13:41:52,2016-05-05 13:41:52,"CNBC Now @CNBCnow Tweet: Apple reports App Store problems affecting ""all users"", users report inaccurate search results » cnb.cx/1rsC8H1",,['AAPL'], -0.234
1161,2016-05-05 14:40:20,2016-05-05 14:40:21,S&P 500 Index Futures Trading Higher In Choppy Session,,"['AAPL', 'INDU', 'SPY', 'XOM']"," 0.12 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this sentence is 0.12."
1162,2016-05-05 16:00:54,2016-05-05 16:00:54,Apple's System Status Site Shows App Store Back Online; Shares Unaffected,,['AAPL']," 0.12 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this sentence is 0.12."
1163,2016-05-05 18:30:51,2016-05-05 18:30:52,Apple & SAP Partner to Revolutionize Work on iPhone & iPad,,['AAPL']," 0.567 

In the given examples, the sentiment strength for Morrisons is 0.43, which indicates a slightly positive sentiment. The sentiment strength for IMI is -0.344, which indicates a slightly negative sentiment. The sentiment strength for AAPL is 0.567, which indicates a moderately positive sentiment."
1164,2016-05-05 20:28:05,2016-05-05 20:28:05,Chamath Palihapitiy Says Tim Cook Is 'Lackluster' And 'Boring',,"['AAPL', 'AMZN']"," -0.567 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.567."
1165,2016-05-06 08:16:35,2016-05-06 08:16:35,Taiwan Semiconductor Begins Tape Out of Apple A11 10nm Chips -DigiTimes,,"['AAPL', 'TSM']"," 0.27 

In the given sentences, you need to analyze the sentiment strength related to the aspect mentioned in each sentence. For example, in the first sentence, the aspect is ""Morrisons"" and the sentiment strength is 0.43, which indicates a slightly positive sentiment towards Morrisons due to their sales growth. In the second sentence, the aspect is ""IMI"", and the sentiment strength is -0.344, which shows a slightly negative sentiment as they have reported a drop in revenue. In the third sentence, the aspect is ""AAPL"" (Apple), and the sentiment strength is 0.27, indicating a mildly positive sentiment due to the mention of Apple's A11 chips."
1166,2016-05-06 09:09:58,2016-05-06 09:09:59,Apple CEO Tim Cook to Meet With Senior China Officials in Beijing in May -Reuters,,['AAPL']," 0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.12."
1167,2016-05-06 12:19:30,2016-05-06 12:19:30,Did Apple Steal This Artist's Music?,,"['AAPL', 'NFLX']"," -0.12 

In the first example, Morrisons is experiencing sales growth for two consecutive quarters, which indicates a positive sentiment towards the company. The second example shows IMI posting a drop in first-quarter organic revenue and warning on full-year performance, indicating a negative sentiment towards the company. In the third example, there's a question about Apple potentially stealing an artist's music, which could be seen as negative sentiment towards Apple."
1168,2016-05-06 12:23:35,2016-05-06 12:27:52,Reuters Exclusive: Tim Cook Will Meet With Top Chinese Officials In Beijing,,['AAPL']," 0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.12."
1169,2016-05-06 13:52:33,2016-05-06 13:52:34,The Market In 5 Minutes: The Most Exciting Two Minutes In Sports,,"['AAP', 'AAPL', 'APD', 'BAB', 'CHTR', 'GM', 'GPRO', 'HLF', 'ICE', 'JCP', 'JUNO', 'MDVN', 'MGM', 'MIK', 'NOK', 'SGYP', 'SPLK', 'SPY', 'TCEHY', 'TWX', 'URI', 'USO', 'VIP', 'WMB', 'YELP']"," 0.12 

In the given sentence, the aspect is ""AAPL"". Please provide the sentiment strength for this sentence."
1170,2016-05-06 14:17:25,2016-05-06 14:17:25,DigiTimes: Taiwan Semiconductor Begins 'Tape-Out' Of 10nm A11 Chips For Apple,,"['AAPL', 'TSM']"," 0.27 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.27."
1171,2016-05-06 14:55:39,2016-05-06 14:55:39,S&P 500 Index Futures Lower In Volatile Session,,"['AAPL', 'AMZN', 'INDU', 'SPY']"," -0.12 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this sentence is -0.12."
1172,2016-05-06 15:55:20,2016-05-06 15:55:20,"Shares of Apple Trading Down ~1.1%, Nearing Extremely Important Support Level at $92 (the Flash-Crash Low)",,['AAPL']," -0.567 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this aspect in the context of the sentence is -0.567."
1173,2016-05-06 15:57:27,2016-05-06 15:57:27,Hearing Trader Says $92 Short Trigger for Apple,,['AAPL']," 0.17 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values can be positive, negative, or neutral depending on the context and aspect."
1174,2016-05-06 17:01:21,2016-05-06 17:01:21,"Dorsey Is An 'Incredible Product Thinker,' But Faces A Big Test With Dual CEO Role",,"['AAPL', 'AMZN', 'GOOG', 'SQ', 'TWTR']"," 0.12 

Sentence: Tesla's Model S is a game changer in the automotive industry 
Aspect: Tesla 
Sentiment Strength: 0.78 

In these examples, you can see that the sentiment strength varies from -0.344 (negative) to 0.78 (positive). The values are real numbers between -1 and 1, where -1 is very negative, 0 is neutral, and 1 is very positive."
1175,2016-05-06 17:05:47,2016-05-06 17:05:48,Apple Chart Approaching $90 Technical Line In The Sand,,['AAPL']," 0.21 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. For example, in the first sentence, Morrisons has experienced two consecutive quarters of sales growth, which indicates a positive sentiment towards the company. In the second sentence, IMI has reported a drop in organic revenue and warned about its full-year performance, indicating a negative sentiment towards the company. In the third sentence, Apple's chart is approaching a significant technical line, suggesting a neutral to slightly positive sentiment towards the stock."
1176,2016-05-06 18:13:10,2016-05-06 18:13:10,"T. Rowe Price Price's Tech Fund Manager Talks Apple, Amazon And The Overall Tech Sector",,"['AAPL', 'AMZN', 'TSLA']"," 0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.12."
1177,2016-05-09 12:03:17,2016-05-09 12:05:06,Apple Buybacks Have Been A 'Powerful' leading Indicator,,['AAPL']," 0.567 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values are subjective and can vary depending on the individual's perception of the information."
1178,2016-05-09 13:14:38,2016-05-09 13:14:38,Differences Make All The Difference For This Dividend ETF,,"['AAPL', 'DGRW']"," 0.12 

In the first example, Morrisons is experiencing sales growth for two consecutive quarters, which indicates a positive sentiment. In the second example, IMI has reported a drop in organic revenue and warned about its full-year performance, which suggests a negative sentiment. In the third example, the dividend ETF highlights the importance of differences, but it doesn't provide any specific information about AAPL, so the sentiment strength is neutral."
1179,2016-05-09 14:33:26,2016-05-09 14:33:26,S&P 500 Index Futures Trading Higher In Range Bound Session,,"['AAPL', 'INDU', 'SPY', 'XOM']"," 0.12 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this sentence is 0.12."
1180,2016-05-09 15:58:05,2016-05-09 15:58:05,How Q1 Earnings Have Changed The Fundamentals Of Big Tech Stocks,,"['AAPL', 'AMZN', 'FB', 'GOOGL', 'NFLX']"," 0.27 

In the first example, Morrisons is experiencing sales growth for two consecutive quarters, which indicates a positive sentiment. In the second example, IMI has reported a drop in organic revenue and warned about its full-year performance, which suggests a negative sentiment. In the third example, the aspect is AAPL (Apple Inc.), and the sentence discusses how Q1 earnings have changed the fundamentals of big tech stocks. The sentiment strength for this example is 0.27, indicating a slightly positive sentiment towards Apple in the context of the discussion."
1181,2016-05-09 18:01:21,2016-05-09 18:01:21,This Fund Manager Has No Desire To Lower Its Apple Holdings,,['AAPL']," 0.27 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.27."
1182,2016-05-09 18:42:59,2016-05-09 18:43:27,Facebook Beverages In China? Not Anymore,,"['AAPL', 'FB', 'TWTR']"," -0.12 

In the first example, Morrisons is experiencing sales growth for two consecutive quarters, which indicates a positive sentiment. The second example shows IMI's drop in first-quarter organic revenue and warning on full-year performance, indicating a negative sentiment. In the third example, Facebook is no longer pursuing beverages in China, but AAPL (Apple) is not mentioned as being involved in this decision. This information does not provide enough context to determine a clear positive or negative sentiment for Apple, so the sentiment strength is closer to neutral."
1183,2016-05-09 18:56:53,2016-05-09 18:56:54,"Analysts At Baird, UBS Debate Apple's Stock",,['AAPL']," 0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.12."
1184,2016-05-10 12:30:20,2016-05-10 12:31:04,Don't Fret About Apple With This NASDAQ ETF,,"['AAPL', 'QQQE']"," 0.12 

In these examples, the sentiment strength is calculated based on the context and aspect provided in each sentence. The values can be positive, negative, or neutral depending on the context and aspect."
1185,2016-05-10 13:14:58,2016-05-10 13:14:58,TD Ameritrade's IMX Sentiment For April Shows Clients Were Net Sellers Of Some Popular Names,,"['AAPL', 'AGN', 'BABA', 'CMG', 'CVX', 'F', 'T', 'TSLA', 'UA']"," -0.12 

In the given sentence, the aspect is ""AAPL"". The sentiment strength for this aspect in the provided sentence is -0.12."
1186,2016-05-10 17:53:27,2016-05-10 17:53:28,Have You Ever Wondered How Companies Like Apple And Facebook Fire Employees?,,"['AAPL', 'FB', 'GOOGL']"," 0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.12."
